,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Bloomington,90,US,1513030500,85,44.84,-93.3,33.8,19.46
1,Sanming,20,CN,1513031028,74,26.25,117.62,34.59,2.35
2,Valdivia,0,CL,1513026000,68,-39.81,-73.25,68.0,9.17
3,Caboolture,40,AU,1513029600,57,-27.08,152.95,77.0,11.41
4,Oshikango,88,NA,1513031008,41,-17.4,15.88,81.57,6.49
5,Roswell,1,US,1513029360,40,34.02,-84.36,59.0,4.7
6,Mozdok,36,RU,1513031035,73,43.75,44.69,24.51,2.13
7,Kindia,0,GN,1513031037,75,10.06,-12.87,72.43,2.68
8,Norman Wells,75,CA,1513029600,85,65.28,-126.83,15.8,4.7
9,Lapa,40,BR,1513026000,68,-25.77,-49.72,66.2,17.22
10,Karimnagar,0,IN,1513030951,72,18.43,79.15,59.2,1.45
11,Kyzyl,68,RU,1513031042,78,51.7,94.45,-9.43,3.13
12,Stara Zagora,0,BG,1513031042,67,42.43,25.64,20.19,1.68
13,Samara,90,RU,1513027800,92,53.2,50.15,24.8,11.18
14,Melville,1,US,1513029360,48,40.79,-73.42,41.0,3.36
15,Shache,0,CN,1513031048,74,38.42,77.24,19.6,2.13
16,Eugene,40,US,1513029360,74,44.05,-123.09,39.2,8.05
17,Limeira,20,BR,1513026000,64,-22.56,-47.4,86.0,20.8
18,Mariehamn,90,AX,1513029000,100,60.1,19.93,33.8,6.93
19,Strasbourg,90,FR,1513029600,75,48.58,7.74,48.2,18.34
20,Shemonaikha,68,KZ,1513031054,70,50.63,81.91,6.28,3.91
21,Nizwa,0,OM,1513031021,67,22.93,57.53,44.13,2.68
22,Las Palmas,92,PA,1513031057,98,8.13,-81.45,69.69,2.13
23,Zhuhai,88,CN,1513029600,72,22.28,113.57,64.4,10.29
24,Sikar,76,IN,1513031059,97,27.62,75.15,55.74,5.14
25,Rasht,75,IR,1513026000,87,37.28,49.58,50.0,3.24
26,Farah,0,AF,1513031062,81,32.37,62.12,27.84,2.57
27,Bologna,75,IT,1513029300,81,44.49,11.34,46.4,3.36
28,Caldwell,90,US,1513029300,100,43.66,-116.69,30.2,3.8
29,Rockhampton,75,AU,1513029600,61,-23.38,150.5,78.8,12.75
30,Shashemene,0,ET,1513031067,59,7.2,38.6,50.25,8.16
31,Entebbe,20,UG,1513029600,94,0.06,32.45,69.8,6.93
32,As Salt,36,JO,1513026000,27,32.04,35.73,53.6,2.91
33,Eisenstadt,0,AT,1513029600,66,47.85,16.52,57.2,27.51
34,San Ramon de la Nueva Oran,56,AR,1513031074,64,-23.13,-64.33,82.38,6.6
